track_id,distance_um,death_cause,lifetime_s,n_frames_evap,n_frames_total,K_fit,R2_gof,R0_fit_um,K_fit_se
194,2482.8068491866566,lost,900,22,45,2.7542908673365,0.7189622739992197,37.39354047089117,0.38505615022924794
195,2379.5532807506597,lost,480,26,33,5.439787952269986,0.7415403991107541,60.88900243510824,0.6555491769828365
196,899.7750958746443,lost,430,7,18,2.351151718769853,0.5684237003335538,32.052870563382726,0.9161959285216007
197,1472.1559520627422,lost,260,18,21,9.742181064752087,0.44076229310696813,68.09812977552026,2.7434194405322887
198,2937.630293251734,lost,670,29,40,3.141371762189344,0.4449299988483299,54.3056200782617,0.6752513909140728
199,951.2990025479448,lost,490,19,19,0.2993319778392664,0.1819940214989533,25.45831473810527,0.1539140735961202
200,1056.0806928866955,lost,590,9,26,1.5159057698082803,0.1851831222783132,41.856669330049215,1.2018561577475662
201,848.1343939967575,lost,260,6,11,3.484485513120858,0.7806061290029758,23.60760358833866,0.9236446831891969
203,2224.7201435519587,lost,410,16,30,6.742081998058468,0.8524417950414778,65.50365044950333,0.7496858720259245
204,2832.212930951845,lost,940,30,49,2.104230342734591,0.42775895778564316,48.66575123148243,0.4599432060315416
205,2669.0271762469756,lost,850,26,46,4.420283499272738,0.7281598197688542,53.04233273576258,0.551299974882735
206,2543.9632937567885,lost,610,26,38,5.20889308498412,0.5883295502876975,67.76918160094387,0.8894147720871588
207,1765.720931357712,lost,530,21,32,2.2555552550552087,0.16740665292101642,56.92987674454536,1.1540025849047688
208,1945.0329784682574,lost,420,19,29,3.4744325481123544,0.8423865550271409,53.798378021453715,0.3645023575051636
209,953.0595763278326,lost,210,7,12,8.368159464902556,0.7131593108724236,44.099199990420395,2.3734060533693264
211,1263.8888187087857,lost,230,6,18,65.88535617150306,0.5447199116757384,79.0139863763184,30.116992821181785
213,1089.4636328346517,lost,300,5,17,4.060816767192177,0.637309240898347,55.67883069111498,1.7686663111346346
214,2074.478801798589,lost,670,38,38,0.1242977435063344,0.013392478490758206,52.740457109847114,0.17780899464948602
215,864.1934876967135,lost,150,7,8,2.253656466768099,0.6057237703292397,36.418482616372266,0.8131407059069491
217,2742.713425767795,lost,940,27,49,4.356638177591047,0.6496601372929007,50.11547350764402,0.6398573404122578
219,2869.2717636732805,lost,650,8,40,39.23437313909169,0.8850201742316495,67.41916293807796,5.77331602189472
220,2650.5023963817894,lost,900,40,46,0.16562372814914603,0.015123043179345753,38.783968651892955,0.21682140288321722
222,1697.8877038003682,lost,670,20,36,3.6460883783731637,0.7565548334322681,55.39583872496971,0.48749628663500627
223,1814.3137881372445,lost,710,36,38,0.2030034347361142,0.02837310302718716,43.159843080263904,0.2037324811794866
224,2162.671048082944,lost,820,21,43,1.8702159974069854,0.6859352929361913,43.408122435324145,0.2903240143794354
225,928.7863495352017,lost,620,6,23,4.761120754076869,0.9036251629524894,35.82063350386745,0.777439980981329
226,1909.595032329867,lost,780,23,41,1.265396787112434,0.2638331703879232,48.00757618784364,0.46125438134091173
228,2392.5788411645817,lost,700,19,39,4.774170515425646,0.9256320700592028,43.32442669590399,0.32820645293097944
229,2498.788249329843,lost,900,8,46,20.829311826124417,0.9655975545535398,48.932857092809066,1.605077013758017
230,1003.0243718120032,lost,550,9,24,5.338240638764046,0.5324097955900384,39.6107580775775,1.8908575446261215
231,846.7412936955894,lost,170,6,8,3.6973334875130153,0.6992871733921838,29.61434618876398,1.212290840714353
233,2247.827284848599,lost,470,24,32,2.6415614510693226,0.8625340618899284,53.57469348621076,0.2248323503826522
236,2618.4415441865826,lost,370,27,30,6.254932733862336,0.7382018852551174,62.310135213065045,0.7449863606563663
239,2766.8107696473235,lost,730,24,42,4.6054368413168465,0.6050798178730907,57.941189553373576,0.7932458723740677
240,861.3786408140019,lost,270,7,12,1.0112471925323538,0.3196983645178464,32.11581168759934,0.6597097109904589
243,1770.6805378957408,lost,410,22,28,4.595010832863457,0.8213612796769865,63.16058189907382,0.47917287818219245
245,985.5608994094147,lost,200,7,7,1.305183669250187,0.21217843524518928,41.79031448949209,1.1247343011159021
246,1876.5819662299023,lost,340,21,25,2.5328377795919867,0.9518486375951378,43.74781960913442,0.13069257610496676
247,2456.4442717791517,lost,610,27,38,4.921783009695845,0.39435217689996965,67.7066640122275,1.2198892870478613
248,1548.0097021861477,lost,760,18,37,3.2678118150729087,0.6513011890791308,42.656091192550264,0.597766186650238
250,2956.116138643294,lost,860,28,47,5.416360393332919,0.6732061634268902,54.79248496040337,0.740088688470576
252,2163.9126653071953,lost,350,20,28,1.4759180468966697,0.38038806164037536,58.17497612930548,0.4439892346046071
257,2854.363912147431,lost,440,27,33,5.089094028045462,0.4596483618711024,62.358309875575934,1.1035597412067577
