frequency,20251210_155950.JPG_T1,20251210_155950.JPG_T2,20251210_155950.JPG_T3,20251210_155950.JPG_T4,20251210_155519.JPG_T5,20251210_155519.JPG_T6,20251210_155519.JPG_T7,20251210_155519.JPG_T8,20251210_155519.JPG_T9,20251210_155519.JPG_T10,20251210_155519.JPG_T11,20251210_155519.JPG_T12,20251210_155519.JPG_T13,20251210_155519.JPG_T14,20251210_155530.JPG_T15,20251210_155530.JPG_T16,20251210_155530.JPG_T17,20251210_155530.JPG_T18,20251210_155530.JPG_T19,20251210_155530.JPG_T20,20251210_155530.JPG_T21,20251210_155530.JPG_T22,20251210_155530.JPG_T23,20251210_155530.JPG_T24,20251210_155530.JPG_T25,20251210_155530.JPG_T26,20251210_155530.JPG_T27,20251210_155614.JPG_T28,20251210_155614.JPG_T29,20251210_155614.JPG_T30,20251210_155614.JPG_T31,20251210_155614.JPG_T32,20251210_155614.JPG_T33,20251210_155713.JPG_T34,20251210_155713.JPG_T35,20251210_155748.JPG_T36,20251210_155748.JPG_T37,20251210_155748.JPG_T38,20251210_155819.JPG_T39,20251210_155819.JPG_T40
0.24762527,4.0411,11.8666,5.9361,4.6871,671.6723,109.1451,2.9107,241.1807,503.2864,13097.6444,5846.9834,45.6908,17.6653,451.2842,6.0638,26.9705,18.2879,48.4965,18.4498,7.1138,16.0876,1002.0270,3158.5867,116.3596,1004.3336,9747.0378,1515.8318,1214.5051,0.4854,10.1419,1.0738,346.2652,48.7482,55.4960,33.5311,9.8230,597.1345,139.8805,47.8768,4991.5518
0.24836006,23.7268,10.9952,14.8123,4.4079,638.9251,18.6672,14.5889,109.6534,458.9231,33261.7705,10859.8459,37.2546,14.5248,63.0578,37.6326,38.3455,3.7707,65.8028,12.5796,115.4119,57.3089,667.7526,2299.5550,68.1311,1706.8070,10407.0654,1487.1915,508.9575,0.4400,14.2367,8.4006,480.3935,0.0331,6.3928,86.7269,0.5249,1538.9188,36.6894,0.0918,253.7637
0.24909486,42.9318,2.2604,13.6821,8.2610,934.0952,51.5621,13.9360,77.7916,378.7522,33264.1449,15688.7129,27.1895,25.8205,248.9964,123.7256,99.3985,0.3323,27.0560,34.9631,101.9705,12.2177,49.6124,528.3195,143.1096,3036.9026,4383.8021,1854.5559,249.1505,1.2227,2.8473,24.8157,646.8189,31.5980,52.9296,43.5561,15.4263,908.8105,11.4427,27.1127,755.5921
0.24982965,21.7062,0.1419,21.2510,21.4189,867.3846,91.1645,117.1927,245.1102,53.8493,52922.9396,18237.5932,41.6756,34.6763,488.2699,89.1199,33.4746,24.6416,30.0281,52.4413,152.7392,79.4285,109.7617,1092.2314,562.1020,1822.9637,3555.7326,2919.1621,278.1365,0.4825,8.4869,12.5442,1283.0826,12.6154,35.5095,65.2490,107.3815,209.1684,7.4591,54.3387,3523.9498
0.25056444,2.3754,1.2759,1.7274,23.6775,112.9020,49.6073,14.7878,389.0940,152.4073,27940.2518,15200.6234,10.8322,22.5448,533.5699,101.6108,3.0161,35.5864,3.2211,38.8636,33.1353,28.5518,81.4646,1708.6193,704.8100,424.9661,1323.1061,663.6112,518.7846,1.1122,15.2737,8.4635,2239.7411,4.1179,125.9381,32.1831,34.5839,18.7189,56.1000,76.7746,1361.4999
0.25129924,2.3660,2.9262,4.2868,1.9475,122.9900,16.2702,82.6832,215.7375,244.9934,11667.3883,6458.0760,34.0594,14.7845,530.1260,431.7913,33.3543,8.8395,22.9300,64.9293,100.6490,202.7083,111.7118,331.4158,417.7497,753.2680,313.1512,323.8418,504.8682,0.4664,18.1299,12.1957,1557.7063,7.1092,154.5938,6.0982,2.4420,2.9511,110.0189,60.3424,123.7506
0.25203403,1.2790,0.2464,13.6159,2.7916,144.1244,28.8271,78.7793,144.9292,237.5245,4423.9516,2987.2301,94.4881,0.8012,277.2113,912.1288,22.6009,5.5185,32.4487,39.5129,162.8804,353.7003,59.3678,1760.2463,53.1833,919.4064,582.9166,403.7129,1188.6418,3.6827,21.1682,15.0881,521.6570,18.0526,92.0652,17.4875,17.4028,506.0511,89.5437,157.9550,1397.2097
0.25276882,12.5895,5.9610,9.8542,0.7756,1940.6174,134.5654,80.4633,141.0484,171.9427,27176.6319,122.5043,102.7359,3.4100,118.9775,338.5252,11.2957,5.0087,19.9544,8.3021,39.5312,287.6242,5.2307,451.4293,231.4489,1574.3691,4931.2598,496.8298,598.1757,1.8923,8.5300,3.2913,709.7600,5.8069,115.2987,14.7376,36.2772,791.7875,148.4906,83.9175,1337.8324
0.25350362,13.0783,6.8337,54.7249,9.6922,965.7193,272.3093,197.7799,74.6004,177.0118,18651.3074,8235.0520,19.4393,0.1085,145.9049,92.7540,18.3166,1.0988,16.7085,1.5946,5.1627,240.9747,410.1376,751.2293,108.4094,4946.7862,6530.3977,119.7520,576.9236,0.7483,4.1558,42.5891,66.7877,24.3811,103.2990,29.9542,42.3252,40.1711,276.5620,10.6678,1459.9292
0.25423841,27.3769,5.5528,97.0575,22.8320,1224.5982,136.6883,173.9493,28.4083,585.9915,11699.4711,14247.8902,38.6360,2.9673,75.9203,25.2523,11.6199,0.3095,31.6791,8.3481,73.2009,319.4564,1327.3257,718.3856,398.7003,3886.3749,2616.3792,206.9688,957.1181,3.6100,4.3572,31.9108,212.5943,18.1469,41.8460,6.4768,14.8744,191.0911,739.7145,56.0264,2208.2131
0.25497320,14.0322,3.1578,43.0304,22.2874,493.1919,80.5674,56.7080,60.2207,435.3773,10881.2305,3401.4783,45.7379,2.4777,222.4339,23.5127,81.3504,15.6980,5.7740,27.7842,67.3659,273.4198,306.8877,881.1826,434.7614,162.9396,1158.5179,358.5939,117.3683,2.8324,4.8983,27.9092,434.7211,14.1904,37.0974,26.7839,24.3560,680.7824,665.7402,63.9044,4746.8414
0.25570800,2.3032,0.2443,7.2335,7.3952,241.5240,171.8470,51.8601,163.9830,175.8530,6249.4960,1570.3221,23.0379,0.3552,210.1463,70.4297,52.2284,22.9526,1.4970,64.7223,128.5943,44.1837,262.7780,2399.7602,115.3973,12.2140,5561.9343,60.8427,120.4995,0.8964,18.4895,6.5890,119.1067,4.4964,29.6817,50.5410,32.4935,813.6141,266.2035,6.2873,6919.0557
