file,genus,mag,area_um2,equiv_diameter_um,perimeter_um,circularity,solidity
Pink_10X_1.TIF,Aspergillus,10,239.0,17.4443,82.0,0.4467,0.7019
Pink_10X_1.TIF,Aspergillus,10,261.0,18.2295,86.0,0.4435,0.7861
Pink_10X_1.TIF,Aspergillus,10,704.0,29.9393,175.0,0.2889,0.5728
Pink_10X_1.TIF,Aspergillus,10,91.0,10.7641,33.0,1.0501,1.1098
Pink_10X_1.TIF,Aspergillus,10,99.0,11.2272,38.0,0.8615,1.1647
Pink_10X_1.TIF,Aspergillus,10,143.0,13.4935,50.0,0.7188,0.8882
Pink_10X_1.TIF,Aspergillus,10,231.0,17.1499,53.0,1.0334,1.0948
Pink_10X_1.TIF,Aspergillus,10,1448.0,42.9378,260.0,0.2692,0.5853
Pink_10X_1.TIF,Aspergillus,10,62.0,8.8849,29.0,0.9264,1.1698
Pink_10X_1.TIF,Aspergillus,10,165.0,14.4943,45.0,1.0239,1.0476
Pink_10X_1.TIF,Aspergillus,10,271.0,18.5755,73.0,0.639,0.7855
Pink_10X_1.TIF,Aspergillus,10,140.0,13.3512,67.0,0.3919,1.129
Pink_10X_1.TIF,Aspergillus,10,261.0,18.2295,104.0,0.3032,0.72
Pink_10X_1.TIF,Aspergillus,10,50.0,7.9788,22.0,1.2982,1.3158
Pink_10X_1.TIF,Aspergillus,10,66.0,9.167,29.0,0.9862,1.211
Pink_10X_1.TIF,Aspergillus,10,263.0,18.2992,65.0,0.7822,0.9705
Pink_10X_1.TIF,Aspergillus,10,83.0,10.28,34.0,0.9023,1.0921
Pink_10X_1.TIF,Aspergillus,10,63.0,8.9562,31.0,0.8238,1.2
Pink_10X_1.TIF,Aspergillus,10,682.0,29.4678,117.0,0.6261,0.7963
Pink_10X_1.TIF,Aspergillus,10,324.0,20.3108,67.0,0.907,1.0237
Pink_10X_1.TIF,Aspergillus,10,73.0,9.6409,30.0,1.0193,1.1318
Pink_10X_1.TIF,Aspergillus,10,237.0,17.3712,78.0,0.4895,0.9258
Pink_10X_1.TIF,Aspergillus,10,198.0,15.8777,67.0,0.5543,0.8182
Pink_10X_1.TIF,Aspergillus,10,106.0,11.6174,48.0,0.5781,0.906
Pink_10X_1.TIF,Aspergillus,10,1127.0,37.8806,195.0,0.3724,0.5955
Pink_10X_1.TIF,Aspergillus,10,114.0,12.0478,53.0,0.51,0.8028
Pink_10X_1.TIF,Aspergillus,10,279.0,18.8476,81.0,0.5344,0.747
Pink_10X_1.TIF,Aspergillus,10,135.0,13.1106,48.0,0.7363,0.9507
