r_prime_um,beta,A,beta_se,r2,n_frames,epsilon_final,trial_id
300,0.5125836246182389,7.347155825558648,0.03532867536244903,0.9633885670287571,10,0.11034008540338734,2to1.1
600,0.600382432524396,6.787698012905697,0.04142032909529993,0.9633198067582673,10,0.10748861648909924,2to1.1
900,0.8971229827663929,3.5242388816342474,0.05500717804583675,0.9708018491789291,10,0.08679269624556724,2to1.1
1200,0.8147459987500139,4.507809534395636,0.045902556220277724,0.9752355447830857,10,0.0865068242659566,2to1.1
1500,0.8714575428726564,4.103452947915651,0.034688835209794405,0.9874828198293579,10,0.07277339841766982,2to1.1
1800,0.9323113908969365,3.699686073810296,0.05472285595787767,0.9731776008896154,10,0.0652103366928702,2to1.1
2100,0.7909512208628806,5.384757935927028,0.035590812492287974,0.9840600125528559,10,0.06338919551497667,2to1.1
2400,0.5885982707692287,8.237988570364648,0.039956926793173024,0.968749586910787,9,0.024368126747904627,2to1.1
0,0.6203369559352956,4.6844016757293865,0.08543558730003536,0.8541808250429527,11,0.052447169357749325,2to1.2
300,1.179244371597966,1.6762421172837272,0.05444083792323037,0.9811794236315164,11,0.10272011751480536,2to1.2
600,0.9990202241517362,3.3665686155035193,0.03866165466298732,0.9867003532065561,11,0.09132738135252778,2to1.2
900,0.9812679886805694,3.666657187154681,0.07844681063610003,0.9456087177749655,11,0.07939732265532869,2to1.2
1200,1.1680126949699365,2.3812028345179073,0.034577192022416436,0.9921744500846623,11,0.07233760338551545,2to1.2
1500,1.0833966151635916,3.019288866370668,0.047664338189028856,0.9828780070995075,11,0.06834266086176805,2to1.2
1800,0.7788229775291682,6.402803010336331,0.05890553215599142,0.9510362967309622,11,0.05974959197798255,2to1.2
2100,0.6916365764329366,8.57024403732722,0.054215175861546054,0.9587622644337865,9,0.05470374958702775,2to1.2
2400,0.7612264014846043,6.58737730874833,0.04136054208857555,0.9741179416882264,11,0.032204673030672,2to1.2
0,0.44012802266046486,7.320101124709761,0.15160976146314725,0.5462676126956766,9,0.03229630900643715,2to1.3
300,0.4371632340421954,8.305670639710135,0.04940744234203539,0.9072886413429375,10,0.11167635689675282,2to1.3
600,0.7988534587495583,4.010488624535888,0.05537918984420395,0.9585416096910736,11,0.1193462864591495,2to1.3
900,0.6884962770390196,5.965496516520121,0.07804123041560046,0.8963508879283272,11,0.11449588099512012,2to1.3
1200,0.6571655524281335,6.874365340463806,0.10266702691393322,0.8540816753463756,9,0.1020703328366715,2to1.3
1500,0.3175262320489981,16.636134287240427,0.07828419764655666,0.7327597605186492,8,0.09049212791338666,2to1.3
1800,0.5486813806872869,9.173830504862874,0.05654868224020944,0.9216796668845924,10,0.08366047719206746,2to1.3
2100,0.5559469423736123,8.908604676036354,0.06239554307492594,0.8981772112650097,11,0.06917849703524695,2to1.3
2400,0.19751494070679526,19.721550918329758,0.14342734099760793,0.21316721785942105,9,0.004585524202106102,2to1.3
0,0.1992270257441793,13.343010254884593,0.04984730936505418,0.6663048467684822,10,0.04991699034715488,2to1.4
300,0.6485521399166017,5.812739439384937,0.02484201700154037,0.9869674542747587,11,0.10389231734896702,2to1.4
600,0.6536611232579864,6.830130916518551,0.08243814707441667,0.8998150627188034,9,0.08796030782281092,2to1.4
900,0.7711505196968991,5.310349412180601,0.021736200300094367,0.992900347116443,11,0.08233092725171871,2to1.4
1200,0.8400829090414316,4.889260791163345,0.04319056461778723,0.9767637778629887,11,0.07246638590349941,2to1.4
1500,0.8433719722996464,4.793601223419536,0.029367228382965807,0.9892051534568109,11,0.06610928577751528,2to1.4
1800,0.7840023970848066,5.7983045048084865,0.04108236086069001,0.978505407211369,10,0.06024361632559065,2to1.4
2100,0.8470406788551376,4.944366947875144,0.0651806649602374,0.9494032898107693,11,0.05560138691032092,2to1.4
2400,0.54866170646794,9.461690209853115,0.06450531630682771,0.889362344201384,11,0.008615061455610274,2to1.4
0,0.14911896856843831,17.190138753982353,0.04706591525283706,0.5272644659643444,11,0.0642651627552387,2to1.5
300,0.4870639163334547,9.720511374259843,0.0593014021011323,0.9059889405596991,9,0.1083632710174253,2to1.5
600,0.752521978829554,6.115083809346986,0.04402685928875945,0.9701143656376782,11,0.09104205241128348,2to1.5
900,0.9775988629029978,3.5937267681592244,0.07337801689733275,0.9568724675182277,10,0.0882445783002188,2to1.5
1200,0.7910389534245715,6.0003308533237085,0.050175776948814484,0.9650548445690631,11,0.07548207230665094,2to1.5
1500,0.5676796411202518,10.7187137037212,0.05570155514918314,0.9284856515445004,10,0.06247013062416947,2to1.5
1800,0.8191529194748697,6.118349595259218,0.05257722867238311,0.9642482913668277,11,0.06671150437674707,2to1.5
2100,0.8831241930534948,5.158113522460193,0.055692049391200135,0.969165922700473,10,0.05860880248246667,2to1.5
2400,0.8208645311426075,5.499793390620978,0.1011021532801056,0.8798730733436547,11,0.017267836853257425,2to1.5
0,1.1653648147969313,1.2058028703850578,0.0537926137618366,0.9811845460970974,11,0.14130488132566027,Green.1
300,1.1639714937904895,1.8287216525293253,0.07415129337239147,0.9647616696810012,11,0.18297862454593225,Green.1
600,1.218355386198082,1.8745350927739415,0.04947319822450534,0.9853769851264621,11,0.1506503528280202,Green.1
900,1.0894529367445527,2.6666238227840084,0.05999015213325805,0.9734360345275215,11,0.11765031080005443,Green.1
1200,0.817314656605977,5.351502760046724,0.04639054814760874,0.971822031198042,11,0.0987996313218421,Green.1
1500,1.3396241567796476,1.417073779637622,0.05764718966423113,0.9836071477407082,11,0.0809348850504402,Green.1
1800,0.96308605595813,3.7485763219399226,0.04104323355738589,0.9839174787793848,11,0.07278441509183355,Green.1
2100,0.8582831067055543,4.742089026590206,0.07760106074464115,0.9386164057802232,10,0.06297018168518782,Green.1
2400,0.875993483426508,4.517731315685589,0.06651316656682017,0.9559119029413635,10,0.05786165452163124,Green.1
2700,0.8560936454742892,4.805334068332987,0.04982156746929543,0.9704202441824261,11,0.05258942729251876,Green.1
3000,0.9658116993391965,3.584121568966641,0.04388388472671872,0.9817580117825959,11,0.04921909246791209,Green.1
3300,0.8931336557721722,4.4891916706788395,0.05089390325793847,0.971605699586408,11,0.04600083837876695,Green.1
0,1.2204693931688821,0.9255865742106996,0.056324210917107015,0.9832471336851967,10,0.09001636582785741,Green.2
